--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0.00_245.jpg	0.00                     	0.5792
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0.00_445.jpg	0.00                     	0.9774
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0_56.jpg	0                        	0.9970
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0_92.jpg	0                        	0.9999
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0_106.jpg	0                        	0.9999
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0_123.jpg	3                        	0.7802
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0_202.jpg	1                        	0.7056
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0_243.jpg	0                        	0.9998
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0_647.jpg	0                        	0.9998
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/000001_354.jpg	000001                   	0.9997
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/000002_70.jpg	000002                   	0.9998
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/5.95_264.jpg	1.5                      	0.1509
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/9.9_591.jpg	9.9                      	0.5535
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/10.0_457.jpg	1000                     	0.5833
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/19_534.jpg	19                       	0.8776
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/20_506.jpg	20                       	0.9996
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/23_152.jpg	2                        	0.9988
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/000029_529.jpg	000029                   	0.9996
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/33_380.jpg	3332                     	0.7153
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/000044_79.jpg	000044                   	0.9959
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/51_622.jpg	881                      	0.3697
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/84_461.jpg	18                       	0.9579
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/102_272.jpg	102                      	0.9982
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/111_416.jpg	111                      	0.9989
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/122_324.jpg	165                      	0.3975
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/132_231.jpg	132                      	0.9919
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/174_296.jpg	174                      	0.9994
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/200_112.jpg	200                      	0.9998
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/210_10.jpg	210                      	0.9883
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/240_244.jpg	240                      	0.9978
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/0250_623.jpg	0250                     	0.9992
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/281.179_580.jpg	281179                   	0.9970
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/300_629.jpg	300                      	0.9997
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/318_585.jpg	318                      	0.9982
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/333.16_363.jpg	7633.16                  	0.9791
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/341_313.jpg	341                      	0.9997
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/399.87_507.jpg	399.87                   	0.9905
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/411_39.jpg	411                      	0.5827
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/456.92_355.jpg	456.92                   	0.7776
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/476_84.jpg	9                        	0.8960
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/500_181.jpg	500                      	0.9994
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/500_594.jpg	500                      	0.9977
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/510_376.jpg	510                      	0.9764
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/562_117.jpg	562                      	0.9378
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/581_557.jpg	581                      	0.9991
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/635.69_536.jpg	635.69                   	0.9489
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/645.80_473.jpg	645.80                   	0.9938
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/696_314.jpg	6..6                     	0.4283
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/000724_42.jpg	000724                   	0.9767
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/772_74.jpg	772                      	0.9615
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/806_95.jpg	806                      	0.9883
/media/data4T2/meterdataset/digital_dataset/otherdataset/val/831_600.jpg	831                      	0.9881
